CommonName,PublishedSortOrder,BioDataTaxonName,HybridFlag,BenchTaxonName,BenchTaxonReferenceCode,ITIS_TSN,ITIS_MatchCode,PublishedTaxonNameLevel,PublishedTaxonName,PublishedTaxonNameAuthority,ScientificName,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Superfamily,Family,Subfamily,Genus,Species,Subspecies,TaxonVersionNumber
lampreys,1000005,Petromyzontidae,N,Petromyzontidae,"",159697,exact match,Family,Petromyzontidae,"",Petromyzontidae,Chordata,Vertebrata,Agnatha,Cephalaspidomorphi,"","",Petromyzontiformes,"",Petromyzontidae,"","","","",5.5
"",1000007,Ichthyomyzon,N,Ichthyomyzon,"",159723,exact match,Genus,Ichthyomyzon,"Girard, 1858","Ichthyomyzon Girard, 1858",Chordata,Vertebrata,Agnatha,Cephalaspidomorphi,"","",Petromyzontiformes,"",Petromyzontidae,Petromyzontinae,Ichthyomyzon,"","",5.5
Ohio lamprey,1000008,Ichthyomyzon bdellium,N,Ichthyomyzon bdellium,"",159724,exact match,Species,Ichthyomyzon bdellium,"(Jordan, 1885)","Ichthyomyzon bdellium (Jordan, 1885)",Chordata,Vertebrata,Agnatha,Cephalaspidomorphi,"","",Petromyzontiformes,"",Petromyzontidae,Petromyzontinae,Ichthyomyzon,Ichthyomyzon bdellium,"",5.5
chestnut lamprey,1000009,Ichthyomyzon castaneus,N,Ichthyomyzon castaneus,"",159725,exact match,Species,Ichthyomyzon castaneus,"Girard, 1858","Ichthyomyzon castaneus Girard, 1858",Chordata,Vertebrata,Agnatha,Cephalaspidomorphi,"","",Petromyzontiformes,"",Petromyzontidae,Petromyzontinae,Ichthyomyzon,Ichthyomyzon castaneus,"",5.5
northern brook lamprey,1000010,Ichthyomyzon fossor,N,Ichthyomyzon fossor,"",159726,exact match,Species,Ichthyomyzon fossor,"Reighard and Cummins, 1916","Ichthyomyzon fossor Reighard and Cummins, 1916",Chordata,Vertebrata,Agnatha,Cephalaspidomorphi,"","",Petromyzontiformes,"",Petromyzontidae,Petromyzontinae,Ichthyomyzon,Ichthyomyzon fossor,"",5.5
southern brook lamprey,1000011,Ichthyomyzon gagei,N,Ichthyomyzon gagei,"",159727,exact match,Species,Ichthyomyzon gagei,"Hubbs and Trautman, 1937","Ichthyomyzon gagei Hubbs and Trautman, 1937",Chordata,Vertebrata,Agnatha,Cephalaspidomorphi,"","",Petromyzontiformes,"",Petromyzontidae,Petromyzontinae,Ichthyomyzon,Ichthyomyzon gagei,"",5.5
mountain brook lamprey,1000012,Ichthyomyzon greeleyi,N,Ichthyomyzon greeleyi,"",159728,exact match,Species,Ichthyomyzon greeleyi,"Hubbs and Trautman, 1937","Ichthyomyzon greeleyi Hubbs and Trautman, 1937",Chordata,Vertebrata,Agnatha,Cephalaspidomorphi,"","",Petromyzontiformes,"",Petromyzontidae,Petromyzontinae,Ichthyomyzon,Ichthyomyzon greeleyi,"",5.5
silver lamprey,1000013,Ichthyomyzon unicuspis,N,Ichthyomyzon unicuspis,"",159730,exact match,Species,Ichthyomyzon unicuspis,"Hubbs and Trautman, 1937","Ichthyomyzon unicuspis Hubbs and Trautman, 1937",Chordata,Vertebrata,Agnatha,Cephalaspidomorphi,"","",Petromyzontiformes,"",Petromyzontidae,Petromyzontinae,Ichthyomyzon,Ichthyomyzon unicuspis,"",5.5
"",1000014,Lampetra,N,Lampetra,"",159700,exact match,Genus,Lampetra,"Bonnaterre, 1788","Lampetra Bonnaterre, 1788",Chordata,Vertebrata,Agnatha,Cephalaspidomorphi,"","",Petromyzontiformes,"",Petromyzontidae,Petromyzontinae,Lampetra,"","",5.5
least brook lamprey,1000015,Lampetra aepyptera,N,Lampetra aepyptera,"",159705,exact match,Species,Lampetra aepyptera,"(Abbott, 1860)","Lampetra aepyptera (Abbott, 1860)",Chordata,Vertebrata,Agnatha,Cephalaspidomorphi,"","",Petromyzontiformes,"",Petromyzontidae,Petromyzontinae,Lampetra,Lampetra aepyptera,"",5.5
