Superclass,Class,Subclass,Superorder,Order,Superfamily,Family,Genus,Species,Species_period
Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Perciformes,,Gobiidae,Acanathogobius,Acanathogobius flavimanus,Acanathogobius.flavimanus
Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Perciformes,,Centrarchidae,Acantharchus,Acantharchus pomotis,Acantharchus.pomotis
Osteichthyes,Actinopterygii,Chondrostei,,Acipenseriformes,,Acipenseridae,Acipenser,Acipenser brevirostrum,Acipenser.brevirostrum
Osteichthyes,Actinopterygii,Chondrostei,,Acipenseriformes,,Acipenseridae,Acipenser,Acipenser fulvescens,Acipenser.fulvescens
Osteichthyes,Actinopterygii,Chondrostei,,Acipenseriformes,,Acipenseridae,Acipenser,Acipenser medirostris,Acipenser.medirostris
Osteichthyes,Actinopterygii,Chondrostei,,Acipenseriformes,,Acipenseridae,Acipenser,Acipenser oxyrinchus,Acipenser.oxyrinchus
Osteichthyes,Actinopterygii,Chondrostei,,Acipenseriformes,,Acipenseridae,Acipenser,Acipenser transmontanus,Acipenser.transmontanus
Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,Acrocheilus,Acrocheilus alutaceus,Acrocheilus.alutaceus
Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Cypriniformes,Cyprinoidea,Cyprinidae,Agosia,Agosia chrysogaster,Agosia.chrysogaster
Osteichthyes,Actinopterygii,Neopterygii,Clupeomorpha,Clupeiformes,,Clupeidae,Alosa,Alosa aestivalis,Alosa.aestivalis
Osteichthyes,Actinopterygii,Neopterygii,Clupeomorpha,Clupeiformes,,Clupeidae,Alosa,Alosa alabamae,Alosa.alabamae
Osteichthyes,Actinopterygii,Neopterygii,Clupeomorpha,Clupeiformes,,Clupeidae,Alosa,Alosa chrysochloris,Alosa.chrysochloris
Osteichthyes,Actinopterygii,Neopterygii,Clupeomorpha,Clupeiformes,,Clupeidae,Alosa,Alosa mediocris,Alosa.mediocris
Osteichthyes,Actinopterygii,Neopterygii,Clupeomorpha,Clupeiformes,,Clupeidae,Alosa,Alosa pseudoharengus,Alosa.pseudoharengus
Osteichthyes,Actinopterygii,Neopterygii,Clupeomorpha,Clupeiformes,,Clupeidae,Alosa,Alosa sapidissima,Alosa.sapidissima
Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Perciformes,,Centrarchidae,Ambloplites,Ambloplites ariommus,Ambloplites.ariommus
Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Perciformes,,Centrarchidae,Ambloplites,Ambloplites cavifrons,Ambloplites.cavifrons
Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Perciformes,,Centrarchidae,Ambloplites,Ambloplites constellatus,Ambloplites.constellatus
Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Perciformes,,Centrarchidae,Ambloplites,Ambloplites rupestris,Ambloplites.rupestris
Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,,Ictaluridae,Ameiurus,Ameiurus brunneus,Ameiurus.brunneus
Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,,Ictaluridae,Ameiurus,Ameiurus catus,Ameiurus.catus
Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,,Ictaluridae,Ameiurus,Ameiurus melas,Ameiurus.melas
Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,,Ictaluridae,Ameiurus,Ameiurus natalis,Ameiurus.natalis
