Genus,Family,Order,Class,Phylum,Cluster
Abedus,Belostomatidae,Hemiptera,Insecta,Arthropoda,Abedus.Belostoma
Abedus.Belostoma,Belostomatidae,Hemiptera,Insecta,Arthropoda,""
Abietinaria,Sertulariidae,Leptothecata,Hydrozoa,Cnidaria,""
Ablabesmyia,Chironomidae,Diptera,Insecta,Arthropoda,""
Abra,Semelidae,Cardiida,Bivalvia,Mollusca,""
Acanthochitona,Acanthochitonidae,Chitonida,Polyplacophora,Mollusca,""
Acanthohaustorius,Haustoriidae,Amphipoda,Malacostraca,Arthropoda,""
Acella,Lymnaeidae,incertae sedis,Gastropoda,Mollusca,""
Achelia,Ammotheidae,Pantopoda,Pycnogonida,Arthropoda,""
Acila,Nuculidae,Nuculida,Bivalvia,Mollusca,""
Acricotopus,Chironomidae,Diptera,Insecta,Arthropoda,""
Acromegalomma,Sabellidae,Sabellida,Polychaeta,Annelida,""
Acroneuria,Perlidae,Plecoptera,Insecta,Arthropoda,""
Acteocina,Tornatinidae,Cephalaspidea,Gastropoda,Mollusca,""
Acuminodeutopus,Unciolidae,Amphipoda,Malacostraca,Arthropoda,""
Adontorhina,Thyasiridae,Lucinida,Bivalvia,Mollusca,""
Aedes,Culicidae,Diptera,Insecta,Arthropoda,""
Aeginina,Caprellidae,Amphipoda,Malacostraca,Arthropoda,""
Aeshna,Aeshnidae,Odonata,Insecta,Arthropoda,Aeshna.Rhionaeschna
Aeshna.Rhionaeschna,Aeshnidae,Odonata,Insecta,Arthropoda,""
Agabus,Dytiscidae,Coleoptera,Insecta,Arthropoda,""
Agapetus,Glossosomatidae,Trichoptera,Insecta,Arthropoda,""
Agarodes,Sericostomatidae,Trichoptera,Insecta,Arthropoda,""
Aglaja,Abylidae,Siphonophorae,Hydrozoa,Cnidaria,""
Aglaophamus,Nephtyidae,Phyllodocida,Polychaeta,Annelida,""
Agnetina.Paragnetina,Perlidae,Plecoptera,Insecta,Arthropoda,""
Agraylea,Hydroptilidae,Trichoptera,Insecta,Arthropoda,""
Agrypnia,Phryganeidae,Trichoptera,Insecta,Arthropoda,""
Akanthophoreus,Akanthophoreidae,Tanaidacea,Malacostraca,Arthropoda,""
Alia,Columbellidae,Neogastropoda,Gastropoda,Mollusca,""
Aligena,Lasaeidae,Galeommatida,Bivalvia,Mollusca,""
Alitta,Nereididae,Phyllodocida,Polychaeta,Annelida,""
Alloleptochelia,Leptocheliidae,Tanaidacea,Malacostraca,Arthropoda,""
Allomyia,Apataniidae,Trichoptera,Insecta,Arthropoda,""
Alloperla,Chloroperlidae,Plecoptera,Insecta,Arthropoda,""
Allorchestes,Dogielinotidae,Amphipoda,Malacostraca,Arthropoda,""
Allothyone,Phyllophoridae,Dendrochirotida,Holothuroidea,Echinodermata,""
Alluaudomyia,Ceratopogonidae,Diptera,Insecta,Arthropoda,""
Alotanypus,Chironomidae,Diptera,Insecta,Arthropoda,""
Alpheus,Alpheidae,Decapoda,Malacostraca,Arthropoda,""
Alvania,Rissoidae,Littorinimorpha,Gastropoda,Mollusca,""
Amaeana,Terebellidae,Terebellida,Polychaeta,Annelida,""
Amage,Ampharetidae,Terebellida,Polychaeta,Annelida,""
Amakusanthura,Anthuridae,Isopoda,Malacostraca,Arthropoda,""
Ambidexter,Processidae,Decapoda,Malacostraca,Arthropoda,""
Ambrysus,Naucoridae,Hemiptera,Insecta,Arthropoda,""
Ameletus,Ameletidae,Ephemeroptera,Insecta,Arthropoda,""
Americamysis,Mysidae,Mysida,Malacostraca,Arthropoda,""
Americhelidium,Oedicerotidae,Amphipoda,Malacostraca,Arthropoda,""
Americorophium,Corophiidae,Amphipoda,Malacostraca,Arthropoda,""
Ameritella,Tellinidae,Cardiida,Bivalvia,Mollusca,""
Ameroculodes,Oedicerotidae,Amphipoda,Malacostraca,Arthropoda,""
Amerycina,Lasaeidae,Galeommatida,Bivalvia,Mollusca,""
Ametor,Hydrophilidae,Coleoptera,Insecta,Arthropoda,""
Amiocentrus,Brachycentridae,Trichoptera,Insecta,Arthropoda,""
Amnicola,Amnicolidae,Littorinimorpha,Gastropoda,Mollusca,""
Ampelisca,Ampeliscidae,Amphipoda,Malacostraca,Arthropoda,""
Ampharete,Ampharetidae,Terebellida,Polychaeta,Annelida,""
Amphicteis,Ampharetidae,Terebellida,Polychaeta,Annelida,""
Amphideutopus,Kamakidae,Amphipoda,Malacostraca,Arthropoda,""
Amphinemura,Nemouridae,Plecoptera,Insecta,Arthropoda,""
Amphiodia,Amphiuridae,Amphilepidida,Ophiuroidea,Echinodermata,""
Amphioplus,Amphiuridae,Amphilepidida,Ophiuroidea,Echinodermata,""
Amphipholis,Amphiuridae,Amphilepidida,Ophiuroidea,Echinodermata,""
Amphiporus,Amphiporidae,Monostilifera,Hoplonemertea,Nemertea,""
Amphissa,Columbellidae,Neogastropoda,Gastropoda,Mollusca,""
Amphitrite,Terebellidae,Terebellida,Polychaeta,Annelida,""
Ampithoe,Ampithoidae,Amphipoda,Malacostraca,Arthropoda,""
Ampumixis,Elmidae,Coleoptera,Insecta,Arthropoda,""
Amygdalum,Mytilidae,Mytilida,Bivalvia,Mollusca,""
Anabolia,Limnephilidae,Trichoptera,Insecta,Arthropoda,""
Anacaena,Hydrophilidae,Coleoptera,Insecta,Arthropoda,""
Anachis,Columbellidae,Neogastropoda,Gastropoda,Mollusca,""
Anadara,Arcidae,Arcida,Bivalvia,Mollusca,""
Anagapetus,Glossosomatidae,Trichoptera,Insecta,Arthropoda,""
Anax,Aeshnidae,Odonata,Insecta,Arthropoda,""
Anchytarsus,Ptilodactylidae,Coleoptera,Insecta,Arthropoda,""
Ancinus,Ancinidae,Isopoda,Malacostraca,Arthropoda,""
Ancistrosyllis,Pilargidae,Phyllodocida,Polychaeta,Annelida,""
Ancyronyx,Elmidae,Coleoptera,Insecta,Arthropoda,""
Anemonactis,Haloclavidae,Actiniaria,Hexacorallia,Cnidaria,""
Angulus,Tellinidae,Cardiida,Bivalvia,Mollusca,""
Anisocentropus,Calamoceratidae,Trichoptera,Insecta,Arthropoda,""
Anisogammarus,Anisogammaridae,Amphipoda,Malacostraca,Arthropoda,""
Anobothrus,Ampharetidae,Terebellida,Polychaeta,Annelida,""
