cas,CharacteristicName
100-02-7,p-Nitrophenol
1007-28-9,Desisopropyl atrazine
100784-20-1,Halosulfuron-methyl
101-42-8,Fenuron
101-55-3,BDE-003
101200-48-0,Tribenuron-methyl
10161-33-8,Trenbolone
10161-34-9,Trenbolone acetate
10238-21-8,Glyburide
1024-57-3,Heptachlor epoxide
10265-92-6,Methamidophos
102676-47-1,Fadrozole
102851-06-9,Tau-fluvalinate
103-90-2,Acetaminophen
1031-07-8,Endosulfan sulfate
1035330-36-9,Tebupirimphos oxon
10453-86-8,Resmethrin
105-67-9,"2,4-Dimethylphenol"
10540-29-1,Tamoxifen
10548-10-4,Terbufos sulfoxide
106-44-5,p-Cresol
106-46-7,p-Dichlorobenzene
10605-21-7,Carbendazim
1066-51-9,Aminomethylphosphonic acid
1071-83-6,Glyphosate
107534-96-3,Tebuconazole
108-95-2,Phenol
1088-11-5,Nordiazepam
109293-97-2,Diflufenzopyr
110488-70-5,Dimethomorph
111-44-4,Bis(2-chloroethyl) ether
111-91-1,Bis(2-chloroethoxy)methane
1113-02-6,Omethoate
1114-71-2,Pebulate
1115248-09-3,Desulfinylfipronil amide
111988-49-9,Thiacloprid
111991-09-4,Nicosulfuron
112281-77-3,Tetraconazole
112410-23-8,Tebufenozide
112721-87-6,cis-Propiconazole
113210-97-2,(E)-Dimethomorph
113210-98-3,(Z)-Dimethomorph
1134-23-2,Cycloate
114-07-8,Erythromycin
114-26-1,Propoxur
114311-32-9,Imazamox
114369-43-6,Fenbuconazole
115-86-6,Triphenyl phosphate
115-96-8,Tris(2-chloroethyl) phosphate
1159-82-6,"Hydroxy-amitriptyline, 10-"
116-06-3,Aldicarb
116-29-0,Tetradifon
116255-48-2,Bromoconazole
116539-59-4,Duloxetine
116714-46-6,Novaluron
117-81-7,Di(2-ethoxylhexyl) phthalate
117-84-0,Di-n-octyl phthalate
117428-22-5,Picoxystrobin
117718-60-2,Thiazopyr
118-74-1,Hexachlorobenzene
1180-25-2,Testosterone glucuronide
119-36-8,Methyl salicylate
119-61-9,Benzophenone
119-65-3,Isoquinoline
1194-65-6,Dichlobenil
119446-68-3,Difenoconazole
120-12-7,Anthracene
120-36-5,Dichlorprop
120-72-9,Indole
120-82-1,"1,2,4-Trichlorobenzene"
120-83-2,"2,4-Dichlorophenol"
120067-83-6,Fipronil Sulfide
120068-36-2,Fipronil Sulfone
