ActivityIdentifier,CollectionDate,Latitude_dd,Longitude_dd,SiteNumber,chem_Azinphos-methyl,chem_Carbaryl,chem_Chlorpyrifos,chem_Diazinon,chem_Dieldrin,chem_Malathion,chem_Methyl parathion,chem_Thiobencarb,chem_Trifluralin,chem_gamma-HCH (Lindane)
nwisga.01.00201598,2002-02-15,33.95388889,-84.4433333,USGS-02335870,0.025,0.0142,0.0025,0.0064,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00203030,2002-05-30,33.95388889,-84.4433333,USGS-02335870,0.025,0.01,0.0025,0.0348,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisil.01.00500010,2004-12-15,40.6300362,-87.72391809,USGS-05525500,0.025,0.0205,0.0025,0.0025,0.0045,0.0135,0.0075,0.005,0.0045,0.002
nwisin.01.00400539,2004-09-08,39.72782144,-85.8794246,USGS-394340085524601,0.025,0.5,0.25,0.25,0.0045,0.0135,0.0075,0.005,0.0045,0.002
nwisne.01.00500039,2004-10-12,41.56116667,-96.5408333,USGS-06800000,0.025,0.0205,0.0025,0.0025,0.0045,0.0135,0.0075,0.005,0.0045,0.002
nwisoh.01.00100311,2001-07-16,39.59301556,-84.7703356,USGS-393619084461200,0.025,0.0205,0.0025,0.0025,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisoh.01.00400200,2004-09-08,40.9486617,-84.266059,USGS-04186500,0.025,0.0205,0.0025,0.0025,0.0045,0.0135,0.0075,0.005,0.0045,0.002
nwisoh.01.00400201,2004-09-08,41.38560609,-84.8016259,USGS-04178000,0.025,0.0205,0.0025,0.0025,0.0045,0.0135,0.0075,0.005,0.0045,0.002
nwisco.01.00200128,2001-10-09,40.4424808,-104.5888487,USGS-06753990,0.025,0.0205,0.0025,0.0025,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisco.01.00200217,2001-10-15,39.74248685,-104.9999817,USGS-06713500,0.025,0.02,0.015,0.464,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00203033,2002-05-31,32.03388889,-83.99638889,USGS-02350080,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.005,0.002
nwisga.01.00203083,2002-06-05,32.03388889,-83.99638889,USGS-02350080,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00203252,2002-06-12,33.3407222,-85.2267222,USGS-02338523,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00203253,2002-06-12,33.95388889,-84.4433333,USGS-02335870,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00203410,2002-06-24,33.95388889,-84.4433333,USGS-02335870,0.025,0.03,0.0025,0.0051,0.0024,0.0135,0.003,0.0024,0.0045,0.002
